
2023/02/04 (08:37:46) | ===> btop++ v.1.2.7
2023/02/04 (08:37:46) | ERROR: Invalid size of hex value: 30344680
2023/02/04 (08:37:46) | ERROR: Invalid size of hex value: C6D0F580
2023/02/04 (08:38:12) | WARNING: Failed to join _runner thread on exit!

2023/02/04 (08:38:45) | ===> btop++ v.1.2.7
2023/02/04 (08:38:45) | ERROR: Invalid size of hex value: 30344680
2023/02/04 (08:38:45) | ERROR: Invalid size of hex value: C6D0F580

2023/02/04 (08:48:13) | ===> btop++ v.1.2.7
2023/02/04 (08:48:13) | ERROR: Invalid size of hex value: 30344680
2023/02/04 (08:48:13) | ERROR: Invalid size of hex value: C6D0F580
2023/02/04 (08:48:34) | WARNING: Failed to join _runner thread on exit!
